pid,title,transtitle,author,translator,poem,transpoem,note,abio,tbio,language,lang,image,image2,imagecredit,imagecredit2,origaudio,translaudio,edition,pagetype
editor-note,,Editor's Note,Alex Bousquet-Chavanne; Megan Mansmann,,,,"<p class=""ednote"">To Our Readers</p>

<p class=""ednote"">
This fifth issue of <em>DoubleSpeak</em> contains languages ranging from Mandarin to Haitian Creole to Old English.</p>

<p class=""ednote"">We, Alex and Megan, have watched <em>DoubleSpeak</em> grow from a six-page pamphlet to the publication you hold today. As we are both graduating, we are pleased to annouce that our new Editorial Director, Meg Pendoley, will continue to lead <em>DoubleSpeak</em> as Editor-in-Chief. We are confident that the magazine will thrive in her hands.</p>

<p class=""ednote"">Though we are sad to have seen our three founding editors graduate last spring, we hope that we have exceeded their expectations with this year's issue of <em>DoubleSpeak</em>. We have grown to a team of eight dedicated staff members consisting of students from all years. We are so proud to say that this year we have expanded beyond the realm of the University of Pennsylvania, and we welcome our contributing translators from communities beyond Penn.</p>    
                                                                                                                                                                        <p class=""ednote"">If you are interested in getting involved, or would like to submit a translation for our next issue, we encourage you to contact us.</p>

 <p class=""ednote"">To Meg and the rest of our team, thank you for your continued hard work, and good luck in the coming years. And to our readers, thank you for your continued support and for allowing us to grow.</p> 

<p class=""ednote"">Sincerely,</p>
<p class=""ednote"">Alex Bousquet-Chavanne & Megan Mansmann</p>                                                                          <p class=""ednote"">Editors-in-Chief</p>
",,,,,/assets/images/images_15/IMG_0476.JPG,,,,,,2015,frontmatter
the-other-girl,L’autre fille,The Other Girl,Annie Ernaux,Jackson Gu,"D’après l’état civil tu es ma sœur. Tu portes le même patronyme que le mien, mon nom de « jeune fille », Duchesne. Dans le livret de famille des parents presque en lambeaux, à la rubrique Naissance et Décès des Enfants issus du Mariage, nous figurons l’une au-dessous de l’autre. Toi en haut avec deux tampons de la mairie de Lillebonne (Seine-Inférieure), moi avec un seul — c’est dans un autre livret officiel que sera remplie pour moi la case décès, celui qui atteste de ma reproduction d’une famille, avec un autre nom.
 
Mais tu n’es pas ma sœur, tu ne l’as jamais été. Nous n’avons pas joué, mangé, dormi ensemble. Je ne t’ai jamais touchée, embrassée. Je ne connais pas la couleur de tes yeux. Je ne t’ai jamais vue. Tu es sans corps, sans voix, juste une image plate sur quelques photos en noir et blanc. Je n’ai pas de mémoire de toi. Tu étais déjà morte depuis deux ans et demi quand je suis née. Tu es l’enfant du ciel, la petite fille invisible dont on ne parlait jamais, l’absente de toutes les conversations. Le secret.","According to official records, we are sisters. We bear the same name, my maiden name, Duchesne. In our family’s tattered record book, under the category of Legitimate Children Born and Deceased, we appear one above the other: you above with two stamps from the city hall of Lille-bonne (Seine-Inférieure) and me below with one. My “deceased” box will be stamped in another book that belongs to the family I will have started under a different name.
 
But you are not my sister. You never were. We have never played together, eaten together, or slept together. I have never felt you or kissed you. I do not know the color of your eyes. I have never seen you. You are without body and voice. I have a few black-and-white photos of you but no memories. You had been dead two years by the time I was born. You are a child of the heavens, the invisible little girl of whom we never spoke, absent from all conversations. The secret.","​<p>During the translation process, I tried to stay as true as possible to the structure of the original text. Several modulations were necessary, as French employs the preposition “of” much more frequently than does English. However, repeated use of “of” sounds heavy in English. Another notable feature is verb tense. The French passé composé tense can be translated as either the simple past tense or the present perfect tense in English. In the second paragraph of the excerpt, the author repeatedly uses passé composé, so I carefully considered which English equivalent more accurately conveys the meaning. Both are perfectly viable options, but I decided on the present perfect to emphasize past pain that lingers in the present. Though short and deceivingly simple, the excerpt required careful consideration, as every word conveys the feelings of disheartenment and inferiority felt by the narrator.</p>","<p>French author Annie Ernaux spent her childhood in Yvetot, Normandy. Her works are often based on personal experiences. In 1984 she won the Prix Renaudot for her novel <em>La place (A Man’s Place)</em>, a narrative in which she recounts her relationship with her father. Many of her works have been translated into English. <em>L’autre fille (The Other Girl)</em> is a short autobiographical novel in which Ernaux describes how she lived her childhood in the shadow of an older sister who had died before Ernaux was born. Her parents kept the secret from her, but over the years hints and photos led her to the truth. She realized she was a replacement that would never measure up.</p>","<p>Jackson Gu is a sophomore majoring in economics and French at the University of Pennsylvania. Raised in Canada, he was exposed to French at an early age, but it wasn’t until his junior year of high school that he discovered his passion for the language.</p>",French,fr,,,,,,,2015,submission
abend,Abend,Abend,Rainer Maria Rilke,Michaela Kotziers,"Der Abend wechselt langsam die Gewänder,
die ihm ein Rand von alten Bäumen hält;
du schaust: und von dir scheiden sich die Länder,
ein himmelfahrendes und eins, das fällt;

und lassen dich, zu keinem ganz gehörend,
nicht ganz so dunkel wie das Haus, das schweigt,
nicht ganz so sicher Ewiges beschwörend
wie das, was Stern wird jede Nacht und steigt—

und lassen dir (unsäglich zu entwirrn)
dein Leben band und riesenhaft und reifend,
so dass es, bald begrenzt und bald begreifend,
abwechselnd Stein in dir wird und Gestirn.","The day returns, slowly, its clothes 
that belong to the sun, 
evening giving new darkness 
to the legs of old trees.
You look, 
and in your eyes these hours part,
one skyward traveling, one descending;

neither claims you whole. 
They leave you
not so entirely dark as that house,
that one silent over there,
not so entirely sure in prolonged longing
as that thing, 
that every-night star that rises

and lowers to you (unspeakably entwined)
your life 
shaken, roaring, but ripened
so that soon bound, soon understanding, 
it tumbles in you 
stone to stardust, stardust to stone.","<p>My translation does not mirror Rilke’s formal verse, but it does stay true to the original’s simple vocabulary to describe the everyday scene of evening. What I found most interesting and did preserve was Rilke’s syntax — long sentences that spill from one line and stanza to the next, imitating the way in which <em>Abend</em> (“evening”) is both the day and night, two <em>Länder</em> (“worlds”) blending into one another, rather than two independent beings. “Evening” would be a literal translation of <em>Abend</em>, but I felt that the original’s title of <em>Abend</em> encompasses the feeling of the poem rather than simply designating the time of day in which the poem takes place. In trying to find an English word that was more nuanced than what I find to be our understanding of “evening,” “twilight” came to mind, with its blurred borders of night and day, but the sound of the word wasn’t right. So, as an instance of untranslatability, <em>Abend</em> remains in German for my title. This poem could be placed with Rilke’s <em>Dinggedichte</em> (“thing poems”), which search to explain the human through the non-human.</p>","<p>Rainer Maria Rilke was a modern German-language poet, intensely lyrical in his writing. With his experiments of syntax and images, collections of Rilke’s poetry work towards a philosophy of objective impressions, and truths of human life. Perhaps his most well known books of poetry are <em>Neue Gedichte</em> (<em>New Poems</em>) and <em>Duino Elegies</em>, the second of which was said to “have had as much influence in German-speaking countries as [T. S. Eliot’s] <em>The Waste Land</em> has in England and America.”<p> ","<p>Michaela Kotziers began writing poetry in her first year of college and has since taken interest in translation, especially that of Old English poetry and with experiments in form.</p>",German,de,/assets/images/images_15/IMG_0524.JPG,,,,,,2015,submission
loneliness,Einsamkeit,Loneliness,Rainer Maria Rilke,Claris Park,"Die Einsamkeit ist wie ein Regen.
Sie steigt vom Meer den Abenden entgegen;
von Ebenen, die fern sind und entlegen,
geht sie zum Himmel, der sie immer hat.
Und erst vom Himmel fällt sie auf die Stadt.

Regnet hernieder in den Zwitterstunden,
wenn sich nach Morgen wenden alle Gassen
und wenn die Leiber, welche nichts gefunden,
enttauscht und traurig von einander lassen;
und wenn die Menschen, die einander hassen,
in einem Bett zusammen schlafen müssen:

dann geht die Einsamkeit mit den Flüssen…


고독은 비와도 같은 것
저녁을 찾아 바다에서 오른다.
멸고 먼 외진 들녘에서 오른다
늘상 고적하기만 한 하늘로 옮겨갔다가
하늘에서 비로소 도시에 내린다.

아침을 향해 골목골목이 몸을 일으키고
아무것도 찾아내지 못한 욕신들이
실망과 슬픔에 젖어 서로 떠나갈 때,
서로 미워하는 사람들이
같은 잠자리에서 함께 잠들어야 할 때,
낮과 밤이 뒤엉킨 시각, 비가 되어 내리면

고독은 강물과 함께 흘러간다…..

<div class=""epigraph"">The translator of this Korean version of Rilke’s poem is anonymous.</div>  






","Loneliness is like a rainfall. 
She rises from the sea against the night; 
from far and distant plains,
she travels to the Heavens, who had always held her.

She rains downward in the indistinguishable hours, 
when all alleyways turn into each after morning, 
and when the bodies, which have found nothing,
depart from one another wet with dissapointment and sadness;
and when people who hate each other
must slumber together in one bed:

Loneliness flows with the river waters...","<p>When I first encountered “Einsamkeit,” I actually read this anonymous translation of it in Korean. When I read the original German, and later an English translation, I found that the English failed to capture certain qualities and meanings that I considered essential in the Korean translation. Thus I translated “Einsamkeit” from the Korean, to try to capture some of these missing qualities that I believe make the poem so simple and reverberating.</p>","<p>Rainer Maria Rilke (1875–1926) was a Bohemian poet and novelist who is widely regarded as one of the most lyrically intense German-language poets, and his works have been characterized as mystical and haunting.</p>","Claris Park is a sophomore at the University of Pennsylvania, majoring in Theater Arts and hoping to double major in English.",German,de,,,,,,,2015,submission
the-dream-of-the-rood,The Dream of the Rood,The Dream of the Rood,Anonymous,Ayla Fudala,"Hwæt! Ic swefna cyst     secgan wylle,
hwæt me gemætte     to midre nihte
syðþan reordberend     reste wunedon.
Þuhte me þæt ic gesawe     syllicre treow

on lyft lædan,     leohte bewunden,
beama beorhtost.     Eall þæt beacen wæs
begoten mid golde.     Gimmas stodon
fægere æt foldan sceatum,     swylce þær fife wæron
uppe on þam eaxlgespanne.     Beheoldon þær engel dryhtnes ealle

fægere þurh forðgesceaft.     Ne wæs ðær huru fracodes gealga,
ac hine þær beheoldon     halige gastas,
men ofer moldan,     ond eall þeos mære gesceaft.
Syllic wæs se sigebeam,     ond ic synnum fah,
forwunded mid wommum.     Geseah ic wuldres treow,

wædum geweorðode,     wynnum scinan,
gegyred mid golde;     gimmas hæfdon
bewrigene weorðlice     wealdendes treow.
Hwæðre ic þurh þæt gold     ongytan meahte
earmra ærgewin,     þæt hit ærest ongan

swætan on þa swiðran healfe.     Eall ic wæs mid sorgum gedrefed,
forht ic wæs for þære fægran gesyhðe.     Geseah ic þæt fuse beacen
wendan wædum ond bleom:     hwilum hit wæs mid wætan bestemed,
beswyled mid swates gange,     hwilum mid since gegyrwed.
Hwæðre ic þær licgende     lange hwile

beheold hreowcearig     hælendes treow,
oððæt ic gehyrde     þæt hit hleoðrode.
Ongan þa word sprecan     wudu selesta:
“Þæt wæs geara iu     (ic þæt gyta geman)
þæt ic wæs aheawen     holtes on ende,

astyred of stefne minum.     Genaman me ðær strange feondas,
geworhton him þær to wæfersyne,     heton me heora wergas hebban.","<span style=""text-align: center"">Listen
and I will tell you
how the highest of dreams
came to me at midnight
when all voices
were hushed in sleep.
It seemed I saw
a wondrous tree ascending into Heaven — sheathed in stars, wreathed in gold, of beacons brightest. Gemstones studded all the corners 
of the Earth; and the five finest adorned 
the cross-beam. All beings fair beheld there, 
by eternal decree, the Angel of the Lord. 
This was no criminal’s gallows; but guarded 
by Holy Spirits, worshipped by men and all 
of glorious Creation.  Proud stood
the Tree of Victory and I, sin-stained, worry-wounded, 
beheld it there: robed in light, shining with joys, gilded. 
Yet beneath the gold
there stirred — I could perceive —
a struggle still, 
the wretched grasping; 
as blood began to pour
down its right flank.
I was wrenched
with sorrow,
cowering
before the beautiful sight.
I saw that blazing beacon
shift its skin;
one moment soaked with sweat,
weeping blood,
the next armored in treasure.
It seemed as though
I lay there an eternity, 
tortured, 
sole witness to the Savior’s tree,
until at once
I heard that forest’s King
begin to speak:
“I remember the dawn,
so long ago,
when from the edge of the woods
I was hewn down by men,
ripped from my roots.
I was made a spectacle
by cruel enemies, 
commanded
to raise up criminals.”</span>","<p>This is a translation of the first thirty-one lines of “The Dream of the Rood,” believed to be the oldest Anglo-Saxon poem. I chose to focus my translation on the physicality and shifting nature of the Rood itself. The most significant change I made to the poem in order to highlight this physicality was to arrange the lines so that they created the shape of a cross. I wanted the poem to emulate the Ruthwell Monument, in which form and content are similarly united. The cross is only clearly defined on the left side, with the right side (where the Rood begins to bleed) left uneven, as though in the process of shifting its shape or dissolving. This emphasizes the constantly changing identity of the Rood — one moment a tree, the next moment a cross, and given a human voice throughout.</p>
<p>I also used language within the poem to bring out the multiplicity of the Rood’s nature, using the words and phrases “robed,” “flank,” “soaked with sweat,” “weeping blood,” and “armored” to suggest that the Rood itself also symbolizes a human body capable of both joy and suffering. In addition, I attempted to create yet another form for the Rood — that of a sword — by using the word “sheathed.” The Rood is a warrior, just as Christ — as described in this poem — is a warrior, not a meek victim. The Rood’s own story and body parallel the story and body of Christ: a lowly origin, suffering inflicted by malicious men and courageously endured, and a glorious finale as a worshiped figure ascending into heaven.</p>","<p>The original text of the poem dates back to the eighth century, and its author (or authors) is unknown.</p>","<p>Ayla Fudala is a student at the University of Pennsylvania majoring in English and environmental studies. Ayla is from Cape Cod, Massachusetts, and recently returned from studying abroad in London. Interested in the intersection of writing, visual art, and science, Ayla is currently working on a research project examining the writing, art, and ecology of fantasy worlds.</p>",Old English,oe,,,,,,,2015,submission
the-seagull,La Gaviota,The Seagull,Pablo Neruda,Gregorio Doblehablante,"La gaviota abrió con destreza,
con espuma, con estupor,
dos direcciones peregrinas
y así se mantuvo en el cielo
con dos alas, dos claridades,
dos secretarias de la luz
hasta que voló, sin embargo,
hacia el este y hacia el oeste,
hacia el norte y hacia la nieve,
hacia la Luna y hacia el Sol.","The seagull opened its wings skillfully, 
with seafoam, with stupor, 
two pilgrim directions, 
and like this it remained in the sky
with two wings, two shining rays
two helpers of light
until it flew, nonetheless, 
to the east and to the west,
to the north and to the snow, 
to the moon and to the sun.","<p>“La Gaviota“ was published in Neruda’s book <em>Arte de pájaros</em> (<em>Bird’s Art</em>). During the fall semester of 2014, we undertook this translating task as an opportunity to face the polysemantic nature of all languages. In that sense, we submit these translations as the work of a collective author named Gregorio Doblehablante.</p>","<p>Pablo Neruda (1904–1973) is one of the best-known Latin American poets of the twentieth century. Hailing from Chile, he received the Nobel Prize for Literature in 1971 “for a poetry that with the action of an elemental force brings alive a continent’s destiny and dreams.” In fact, many of his poems are imbued with a sense of politics, which is contextualized by Neruda’s ardent support of the Communist Party and his work as a diplomat. His famous collections include <em>Veinte poemas de amor y una canción desesperada (Twenty Love Poems and A Desperate Song)</em> and <em>Crepusculario (Book of Twilight</em>).</p>","<p>GREGORIO DOBLEHABLANTE is the pseudonym of a collective authorial group consisting of five undergraduates and two graduate student supervisors. The included translations are collective projects done in Casa Hispana, a Modern Language Program that takes place in Gregory College House, a student residence at the University of Pennsylvania. Casa Hispana is a language program designed to help residents in Gregory College House and students throughout campus to improve their speaking skills in Spanish. It is also a place of encounter where students can learn more about Latin American, Latino, and Hispanic cultures.</p>",Spanish,es,,,,,,,2015,submission
cormorant,Cormorán,Cormorant,Pablo Neruda,Gregorio Doblehablante,"Crucificado en la roca,
inmóvil cruz de pelo negro,
se quedó allí terco y torcido.
El sol cayó como un caballo
sobre las piedras de la costa:
sus herraduras desataron
un millón de chispas furiosas,
un millón de gotas de mar
y el crucificado volante
no parpadeó sobre la cruz:
la ola se hinchaba y daba a luz:
temblaba la piedra en el parto:
susurraba suave la espuma
y allí como un negro ahorcado
seguía muerto el cormorán,
seguía vivo el cormorán,
seguía vivo y muerto y cruz,
con las rígidas alas negras
abiertas encima del agua:
seguía como un garfio cruel
clavado a la sal de las rocas
y de tantos golpes de cólera,
de tanto verde y fuego y furia,
de los poderes reunidos
en el silbante litoral
él parecía la amenaza:
él era la cruz y la horca:
la noche clavada en la cruz, 
la agonía de las tinieblas:
pero de pronto huyó en el cielo,
voló como una flecha negra
y subió cíclico volando
con su traje de nieve negra,
con pausa de estrella o de nave.
Y sobre el desorden del mar
—dentelladas de mar y frío—
voló voló voló voló
su ecuación pura en el espacio.","Crucified on the rock,
A motionless cross of black feathers,
There it remained obstinate and contorted. 
The sun beat down like a horse
On the rocks along the coast: 
Its hooves unleashed
A million raging sparks,
A million drops from the sea
And the crucified aviator,
did not blink on his cross: 
the wave swelled and gave birth:
the rock trembled as it emerged:
the foam whispered softly
and there like a dark man hanging,
the cormorant remains dead,
the cormorant remains alive,
the cormorant remains alive and dead and cross
with the rigid black wings,
opened above the water: 
remains like a cruel hook
latched to the salt of the rocks,
and despite so many angry hits,
and despite so much life and fire and fury,
despite the reunited powers, 
On the howling coast,
He seemed threatening;
He was the cross and the noose,
the night nailed to the cross,
the agony of darkness, 
but suddenly he fled to the sky, 
flew like a black arrow,
spiralled upwards,
with his suit of black snow, 
with the pause of stars or ships.
And above the unruly waters
— bites of cold and sea — 
he flew flew flew flew
tracing his pure equation in space.","<p>“Cormorán” was published in Neruda's book <em>Arte de pájaros</em> (<em>Bird’s Art</em>). During the fall semester of 2014, we undertook this translating task as an opportunity to face the polysemantic nature of all languages. In that sense, we submit these translations as the work of a collective author named Gregorio Doblehablante.</p>
","<p>Pablo Neruda (1904–1973) is one of the best-known Latin American poets of the twentieth century. Hailing from Chile, he received the Nobel Prize for Literature in 1971 “for a poetry that with the action of an elemental force brings alive a continent’s destiny and dreams.” In fact, many of his poems were imbued with a sense of politics, which was contextualized by Neruda’s ardent support of the Communist Party and his role as a diplomat. His famous works include Veinte poemas de amor y una canción desesperada (Twenty Love Poems and A Desperate Song) and Crepusculario (Book of Twilight).</p>","<p>GREGORIO DOBLEHABLANTE is the pseudonym of a collective author group consisting of five undergraduates and two graduate student supervisors. The included translations are collective projects done in Casa Hispana, a Modern Language Program that takes place in Gregory College House, a student residence at the University of Pennsylvania. Casa Hispana is a language program designed to help residents in Gregory College House and students throughout campus to improve their speaking skills in Spanish. It is also a place of encounter where students can learn more about Latin American, Latino, and Hispanic cultures.</p>",Spanish,es,,,,,,,2015,submission
you-you-broke-yourself,Tu ti spezzasti,"You, you broke yourself",Giuseppe Ungaretti,Anna Carapellotti,"I molti, immani, sparsi, grigi sassi
Frementi ancora alle segrete fionde
Di originarie fiamme suffocate
Od ai terrori di fiumane vergini
Ruinanti in implacabili carezze,
—Sopra l’abbaglio della sabbia rigidi
In un vuoto orizzonte, non rammenti?
​
E la recline, che s’apriva all’unico
Raccogliersi dell’ombra nella valle,
Araucaria, anelando ingigantita,
Volta nell’ardua selce d’erme fibre
Più delle altre dannate refrattaria,
Fresca la bocca di farfalle e d’erbe
Dove dale radici si tagliava,
—Non la rammentii delirante mura
Sopra tre palmi d’un rotondo ciottolo
In un perfetto bilico
Magicamente apparsa?
​
Di ramo in ramo fiorrancino lieve
Ebbri di meraviglia gli avidi occhi
Ne conquistavi la screziata cima,
Temerario, musico bimbo,
Solo per rivedere all’imo lucido
D’un fondo e quieto baratro di mare
Favolose testuggini
Ridestarsi fra le alghe.
Della natura estrema la tensione
E le subacquee pompe,
Funebri moniti.
​
<h1>2.</h1>
Alzavi le braccia come ali
E ridavi nascita al vento
Correndo nel peso dell’aria immota.
​
Nessuno mai vide posare
Il tuo lieve piede di danza.
​
<h1>3.</h1>
Grazia, felice,
Non avresti potuto non spezzarti
In una cecità tanto indurita
Tu semplice soffio e cristallo,
​
Troppo umano lampo per l’empio,
Selvoso, accanito, ronzante
Ruggito d’un sole ignudo.","The many, immense, lifeless stones
Trembling still in secret slings
Of already smothered flames
Or the terrors of virgin floods
Rushing relentless —
Rigid above the sand’s blind glare
On an infinitely empty horizon,
Don’t you remember?

And the Araucaria
Leaning, opening to be the only
Gathering of shadows in the valley,
Craving growth
Curving its fibers into the arduous stone
Resilient, more so than the other damned,
Lips lively with butterflies and budding grass
Intersecting with severed roots —
Don’t you remember that restless silence?
As if by magic, it appeared
Above three spans of a smooth stone
In perfectly precarious balance.
​
From branch to branch a breezy kinglet
Drunk from wonder, your eager eyes
Conquering the mottled summit
Fearless, musical child
Only to gaze again into the glittering depth
Of a deep and peaceful ocean chasm.
Fabulous tortoises
Awaking again among algae.
In nature’s tremendous tension
And underwater splendor,
Were mournful warnings.
​
<h1>2.</h1>
You spread your arms like wings
And gave life back to the wind
Suspended in the impenetrable air.

No one ever saw you rest
Your light, dancing feet.
​
<h1>3.</h1>
Grace, happiness, you,
Who could not help but break
Against such callous blindness —
You, fragile breath and crystal.

Undeniably human, a flash of light
Feral, tenacious, purring —
The roar of a naked sun.","<p>Like many of Ungaretti's poems, the tone here is nostalgic, which I have attempted to capture. I chose to translate this poem because it is regarded as one of the poet's finest works, and I find it to be beautifully intimate.</p>
","<p>Ungaretti (1888–1970) was an Italian poet born and raised in Alexandria, Egypt. He wrote his first volume of poetry in the trenches during World War I while serving in the Italian Army. He is known for breaking away from the traditional Italian form, and his works are characterized by obscure language and experimental meter. Ungaretti lived in Brazil from 1936 to 1942, where he taught Italian literature at the University of São Paolo. While living in Brazil, his nine-year-old son died from appendicitis, a tragedy which “Tu ti spezzasti” engages. Published in his collection <em>Il dolore</em> (1947), “Tu ti spezzasti” is full of <em>dolore</em> (“pain/grief”) as it describes a memory of his fragile son playing among the Araucaria trees in Brazil’s intense landscape.</p>","<p>Anna Carapellotti is a senior at the University of Pennsylvania majoring in cognitive science. Her love of learning languages began at the Atlanta International School, where she studied Spanish, French, and Latin. Having grown up in an Italian American family, she was thrilled to have the opportunity to formally study Italian at Penn. Anna is a lover of Italian literature and a novice translator of poetry. She formerly worked as a translator for Watching America, an organization that provides foreign perspective on current American issues by making available in English articles written about the US by foreign news sources.</p>",Italian,it,,,,,,,2015,submission
the-mirror,镜,The Mirror,Shu Ting,Madeline Penn,"暗蓝之夜
旧创一起进发
厕再煎烤这些往事时
是极有耐心的情人
合钟滴滴嗒嗒
将梦踩踏得体无完肤

沿墙摸索
沿墙摸索一根拉线开关
却无意缠住了
一缕月色
鳞鳞银鱼闻味而来缠根而上
你终于
柔软一池

在一个缓慢的转身里
你看着你
你看着你
穿衣镜故作无辜一腔纯情
暖昧的贴墙纸将花纹燃糊着
被坚硬地框住
眼看你自己一瓣一瓣地凋落
你无法逃脱无法逃脱
即使能倒划过一堵墙墙
仍有一个个划不过的日子堵在身后

女人不需要哲理
女人可以抖落月的色斑，如
狗抖去水

拉上厚窗帘
黎明湿漉漉的舌头搭上窗玻璃
回到枕头的凹痕去
像一卷曝过光的胶卷
将你自己散放着

窗下的核桃树很响地瑟缩了一下
似乎被一只冰凉的手摸过","In the indigo night
Old wounds burst open
When the bed begins to broil the past,
Becoming a lingering lover
The clock ticks, clock ticks
And beats the dream black and blue
Beating on the wall
Beating on the wall for the light-line
Intertwined in fibers of moonlight
Flashing silverfish smeel the scent
And ascend on a root
Finally you soften to a pond

Swirling slowly,
You look at yourself
Yes, you are looking at yourself

The full-lenght mirror manipulates love
The wallpaper's printed pattern, blurry
Feigning innocence

Finding itself firmly framed
Watching yourself wither petal by petal
No way out, no way to escape

Even if you leapt over walls
There are days blocking you from behind
That you cannont leap over

Women don't need philosophy
Women can wave off moonmarks
Just as dogs wave off water

Shut the weight of the drapes  
Misty tongue of morning licks the window glass

Return to the valley of the pillow
Like loose film, negatives exposed

The walnut tree beneath the window shivers
As if touched by a hand of ice




","<p>This poem was translated for Professor Taije Silverman's ""Poetry of Translation"" course at the University of Pennsylvania. Since I cannot read or write in Chinese, I looked at many translations of the poem, and from those I created a new version. My classmates and professor helped workshop and revise my piece.</p>","<p>Shu Ting (舒婷) is from Fujian, China. She is usually associated with a school of poets entitled the Misty Poets. Born in 1952 during the Cultural Revolution, she was sent to the Chinese countryside because of her family’s political ideology. She returned to Fujian in 1972 and spent time working in factories for her livelihood. Her poems gained popularity in the 1980s, and around that time, she co-authored a collection of poetry with Gu Cheng, another prominent Misty Poet. Shu is well known in China and beyond for her poems “To the Oak” and “Dear Motherland,” in which conflict and pain are present but positivity blooms. “Mirror” is one of her less well-known poems, and it gives us a glimpse into the poet’s private life.</p>","<p>Madeline Penn is a sophomore at the University of Pennsylvania from New York City, majoring in English and minoring in art history. She loves art, and serves on the student board of the Philadelphia Institute of Contemporary Art, as well as on the board of the undergraduate History of Art Department at the University of Pennsylvania.</p>",Chinese,zh,/assets/images/images_15/IMG_6785.jpeg,,,,,,2015,submission
37,37,XXXVII,Gaius Valerius Catullus,Jacob Brunner,"Salax taberna uosque contubernales
a Pilleatis nona Fratribus pila,
solis putatis esse mentulas uobis,
solis licere quidquid est puellarum
confutuere et putere ceteros hircos?
an continenter quo sedetis insulsi
centum an ducenti, non putatis asurum
me una ducentos irrumare sessores?
atqui putate: namque totius uobis
frontem tabernae sopionibus scribam.
puella nam ni, quae meo sinu fugit,
amata tantum quantum ambitur nulla,
pro qua mihi sunt magna bella pugnata,
consedit istic. hanc boni beatique
omnes amatis, et quidem (quod indignum est)
omnes pusilli et semitarii moechi;
tu praeter omnes, une de capillatis,
cuniculosae Celiberiae fili, 
Egnati, opaca quem bonum facit barba
et dens Hibera defricatus urina.","Lecherous House and its dwellers, 
Ninth pier from the Brothers with Felt Skullcaps,
Do you suppose you're the only one with cocks,
The only onces with a license to fuck,
And that the rest of us are putrid, rotting goats?
Or, since you nebbish barbarians
Are tightly encamped one or two hundred strong,
Do you think I wouldn't dare face-fuck
Two hundred sitting lechers in one go?
Think again. I'll graffiti your entire kenne's 
Façade for you with cocks and balls–
Because a girl who fled my valleys of intimacy,
Whom I loved to a degree no other will be loved,
For whom I've waged a great war, has settled herein.
The upright and prosperous are all in love with her,
Not to mention (shame on her!) all the sleazy
Back-alley spouse-fuckers. Especially you,
Egnatius, master of the sordid, ace of the longhairs,
Spawn of Celtiberia The Rabbit-Ridden, you for whom
A rapist's beard would be an upgrade,
And teeth scrubbed with Iberian piss. ","<p>These interpretations are willfully ignorant of archaism and historical lexis, aiming instead to expand on Catullus's natural coarseness with a comically outsized transgression achieved through lateral substitution and circumlocution.</p>",<p>Catullus was a poet during the late Roman Republic who died around 54 B.C.</p>,<p>Jacob Brunner is a Greater Philadephia-area poet and musician.</p>,Latin,la,,,,,,,2015,submission
