pid,title,transtitle,author,translator,language,lang,pagetype
cobweb-clues-counting,蛛丝迹：数,Cobweb Clues: Counting,Jiemin Liu (刘洁岷),Yi Feng,Chinese,zh-Hans,submission
poetica,Poética,Poetica,Manuel Bandeira,Fernando Ursine,Portuguese,pt,submission
i-want-to,Aku Ingin,I Want To,Sapardi Djoko Damono,Dian Febrianti,Bahasa indonesia,in,submission
house-house,Дом дом,House house,Valeriya Krutova,Ryan Hardy,Russian,ru,submission
undine-goes,Undine Geht,Undine Goes,Ingeborg Bachmann,Ailie Margot,German,de,submission
eight-epigrams-on-the-sudden-loss-of-a-son,Eight Epigrams on the Sudden Loss of a Son ,Eight Epigrams on the Sudden Loss of a Son ,Moses Ibn Ezra,Ben Notis,Hebrew,he,submission
sin-titulo,Sin título,Without a title,Rosalía de Castro,James Mesiti,Spanish,es,submission
palik-tik-daina-man,Palik Tik Dainą Man,Leave Me Only A Song,Paulius Širvys,Ash Maria,Lithuanian,lt,submission
der-erlkonig,Der Erlkönig,The Elm-King,Johann Wolfgang von Goethe,Benjamin McAvoy-Bickford,German,de,submission
erlkonigs-tochter,Erlkönigs Tochter,Elm-King's Daughter,Johann Gottfried von Herder,Benjamin McAvoy-Bickford,German,de,submission
lost-and-found,Lost and Found,,Aiyana Nosizwe Mate,,English,,musing
living-in-the-hills-impromptu-verses,山居即事,Living in the Hills: Impromptu Verses,Wang Wei (王維),Yudi Xie,Chinese,zh,submission
childrens-duties,หน้าท’่เด็ก,Children's Duties ,Cha-um Panchaphan,John Viano and Peeriya Pongsarigun,Thai,th,submission
net,जाल,Net,Padma Sachdev (पद्मा सचदेव),Abigail Tuscano ,Hindi,hi,submission
send-me-your-news-and-kisses-to-all,Dammi tue notizie e un bacio a tutti,Send Me Your News and Kisses to All,Valerio Grutt,Anna Aresi,Italian,it,submission
for-kira,За Киру,For Kira,Alina Khaitlina,Yehudith Dashevsky,Russian,ru,submission
ghazal-97,Gazel 97,Ghazal 97,Mostarli Hasan Ziyâî,Denis Ferhatovic,Turkish,tr,submission
sonnet,Soneto,Sonnet,Guillermo Blest Gana,Madison Weiss,Spanish,es,submission
to-sell-milk-in-brindavana,ಬೃಂದಾವನಕೆ ಹಾಲನು ಮಾರಲು,To Sell Milk in Brindavana,Kuppali Venkatappa Puttappa,Nesara Shree,Kannada,kn,submission
music,"La Musique
<h1>Sonate</h1>","Music
<h1>Sonata</h1>","Marie Krysińska
<h1> Marie Krysińska </h1>","Samantha Pious
<h1> Samantha Pious </h1>",French,fr,submission
ancient-i-am-dazed-by-the-voice,"Antico, sono ubriacato dalla voce","Ancient, I am dazed by the voice",Eugenio Montale,Carla Rossi,Italian,it,submission
all-that-glitters,淡泊,All That Glitters,Liu Guo-Fang (刘国芳),Chardonnay Needler,Chinese,zh,submission
1964,1964,1964,Jorge Luis Borges,Samantha DeStefano,Spanish,es,submission
to-read-in-case-of-snow,Te Lezen bij Sneeuw,To Read in Case of Snow,"Esther Jansma",C.H. Henry,Dutch,nl,submission
dont-bother-the-earth-spirit,Don't Bother the Earth Spirit,Don't Bother the Earth Spirit,Joy Harjo,<em>DoubleSpeak</em> Staff,English,en,submission
untitled-from-the-salad-anniversary-collection,サラダ記念日,Untitled (from the Salad Anniversary Collection),Machi Tawara,<em>DoubleSpeak</em> Staff,Japanese,ja,submission
