pid,transtitle,title,author,translator,language,lang,pagetype
staff2019,Staff,,,,,,frontmatter
ednote2019,Editor’s Note,,,,,,frontmatter
i,I,"<span lang=""he"">אני</span>",Rachel Bluwstein ,Shoshana Akabas,Hebrew,he,content
the-man-who-walks-too-fast,The Man Who Walks Too Fast,"<span lang=""zh"">走得太快的人</span>",Li Yuansheng,Yi Feng,Chinese,zh,content
ghazal,Ghazal,"<span lang=""ar"">غزال</span>",Hossein Monzavi,Ali Noori,Farsi,fa,content
the-abandoned,The Abandoned,La abandonada,Gabriela Mistral,Perren Carrillo,Spanish,es,content
blind-scrap-dealer,Blind Scrap-Dealer,"<span lang=""ar"">اندھا کباڑی</span>",Noon Meem Rashid,Armghan Ahmad,Urdu,ur,content
i-was-ten-years-old-head-in-the-sky,I was Ten Years Old Head in the Sky,j’eus dix ans le ciel en tête,Amina Saïd,<em>DoubleSpeak</em> Staff,French,fr,content
a-ballad-about-departing-for-heaven,A Ballad about Departing for Heaven,Баллада об уходе в рай,Vladimir Vysotskii,Dan Guralnik,Russian,ru,content
in-the-south-simple-speech,In the South; Simple Speech,"<span lang=""ar"">في الجنوب; اللفظة البسيطة</span>",Khalil Hawi,Rawad Wehbe,Arabic,ar,content
crucifixion,Crucifixion,Распятие,Anna Akhmatova,Yehudith Dashevsky,Russian,ru,content
autumn-eyes,Autumn Eyes,Herbstaugen,Hilde Domin,Dillon Bergin,German,de,content
easily-written-poem,Easily Written Poem,"<span lang=""ko"">쉽게 씌어진 시</span>",Yun Dong-ju,Nadia Park,Korean,ko,content
song-for-helen,Song for Helen,Chanson pour Hélène,Pierre de Ronsard,Saagar Asnani,French,fr,content
paper-crane,Paper Crane,"<span lang=""zh"">纸鸽</span>",Li Yuansheng,Yi Feng,Chinese,zh,content
here-i-love-you,Here I Love You,Aquí te amo,Pablo Neruda,Stephanie Diaz,Spanish,es,content
a-flowers-pride,A Flower’s Pride,"<span lang=""th"">อหังการของดอกไม้</span>",Chiranan Pitpreecha,Peeriya Pongsarigun and John Viano,Thai,th,content
copyright2019,Copyright,,,,,,frontmatter
