pid,transtitle,title,author,translator,language,lang,pagetype
staff2020,Staff,,,,,,frontmatter
ednote2020,Editor’s Note,,,,,,frontmatter
a-poem-nabakovs-butterfly,A Poem; Nabakov’s Butterfly,"<span lang=""zh"">一首诗；纳博科夫的蝴蝶</span>",Shuguang Zhang ,Yi Feng,Chinese,zh,content
bitter-song,Bitter Song,Canción Amarga,Julia de Burgos,Heta Patel,Spanish,es,content
to-my-mother-he-who-lost-everything,To My Mother; He Who Lost Everything,A ma mère; Celui qui a tout perdu,David Diop,Samantha DeStefano,French,fr,content
diary,Diary,"<span lang=""zh"">日记</span>",Haizi,Zhiqiao (Kate) Jiang,Chinese,zh,content
five-poems-by-vladimir-myakovsky,Five Poems,,Vladimir Mayakovsky,Jianing Zhao,Russian,ru,content
little-lessons-in-eroticism,Little Lessons in Eroticism ,Pequeñas lecciones de erotismo ,Gioconda Belli,Sam Friskey,Spanish,es,content
valet,Valet,Valet,Erich Arendt,Robert Chen,German,de,content
ah-motherland-dear-motherland,"Ah Motherland, Dear Motherland ","<span lang=""zh"">祖国啊，我亲爱的祖国</span>",Shu Ting,Anne Chen,Chinese,zh,content
galeria-lxii-varia-xciv,Translation of “Galeria LXII” and “Varia XCIV”,Galeria LXII; Varia XCIV,Antonio Machado,Anika Prakash,Spanish,es,musing
scissiparity,Scissiparity,La Scissiparité,Georges Bataille,Cory Austin Knudson,French,fr,content
after-everything-still-you,"After everything, still you",Dopo tutto anche tu,Alda Merini,Quinn Gruber,Italian,it,content
sonnet-1,Sonnet 1,Sonnet 1,Théophile Gautier,Shiven Sharma,French,fr,content
a-trial-race,A Trial Race,"<span lang=""he"">תחרות לנסיון</span>",Nathan Alterman,Dan Ben-Amos,Hebrew,he,content
grave-news-at-dawn-great-tidings-at-dusk,"Grave News at Dawn, Great Tidings at Dusk","<span lang=""zh"">清晨的噩耗，黄昏的捷报</span>",Zhang Ergun (张二棍),Kejia Wang,Chinese,zh,content
staff-translation-2020,Staff Translation,"<span lang=""ja"">死なうかと</span>",Masajo Suzuki ,<em>DoubleSpeak</em> Staff,Japanese,ja,content
winter-heart-to-the-poet,Winter Heart; To the Poet,"<span lang=""ko"">겨울 마음; 시인에게</span>",이상화 Yi Sang-hwa,Emily Yoon,Korean,ko,content
interview-yoon,An Interview with Emily Yoon,,Yuxin (Vivian) Wen and Rhosean Asmah,,,,musing
shadow-of-the-coming-days-a-words-wish,Shadow of the Coming Days; A Word’s Wish,Sombra de Los Dias al Venir; El Deseo de La Palabra,Alejandra Pizarnik,Maria Lourdes Riillo,Spanish,es,content
conversation-untitled,Conversation; [You who cried two thousand years],Dialogue; [Vous qui avez pleuré deux mille ans],Charlotte Delbo,Rhosean Asmah,French,fr,content
bandujeewa-4,Four Poems by Ruwan Bandujeewa,"<span lang=""si"">ගැඩවිල්ලු; සැපකි — සතුටකි; ඇළ; ගසක් තම මල් අමතා කී කවිය</span>",Ruwan Bandujeewa,Chamini Kulathunga,Sinhalese,si,content
the-holy-land,The Holy Land,La terra santa,Alda Merini,Carla Rossi,Italian,it,content
farewell-violin,Farewell Violin,Violon D’Adieu,Émile Nelligan,Aylin Malcolm,French,fr,content
a-french-minstrel-and-an-italian-lady,A French Minstrel and an Italian Lady,"Domna, tant vos ai prejada",Raimbaut de Vaqueiras,Samantha Pious,Old Occitan and Genovese,oc,content
a-sun-did-not-rise,a sun did not rise,"<span lang=""ar"">والله ما طلعت شمسٌ</span>",Al-Hallaj,Michael Karam,Arabic,ar,content
a-bookworm,A bookworm,Ein Leseast,Paul Celan,David Ting,German,de,content
preaching-to-women,Preaching to Women,"<span lang=""th"">อันนัยน์ตาพาตัวให้มัวหมอง</span>",Sunthorn Phu,Peeriya Pongsarigun and John Viano,Thai,th,content
mirror,Mirror,"<span lang=""zh"">镜</span>","Shu Ting <span lang=""zh"">舒婷</span> ",Shuke Zeng,Chinese,zh,content
crossing,Crossing,"<span lang=""ar"">بعد ‬</span>",Mohammad Ali Bahmani ,Ali Noori,Farsi,fa,content
be-well-thanks-in-front-of-you-this-ancient-rain,"Be well, thanks…; In front of you is this ancient rain…","<span lang=""he"">הֱיוּ שָׁלוֹם, תּוֹדָה…</span>; <span lang=""he"">...לְפָנֶיךָ הַגֶּשֶׁם הָעַתִּיק</span>
",Tuvya Ruebner,Yehudith Dashevsky,Herbrew,he,content
just-one-detail,Just one detail ,Solo un detalle ,Karina García Albadiz,Ella Konefal,Spanish,es,content
copyright2020,Copyright,,,,,,frontmatter
